,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy,class
331,1.0,0.0,1.0,0.02777264040441403,0.12821080602302923,0.01267710663683818,0.027837259100642397,0.0,0.0,0.0,0
1075,0.0,0.0,1.0,0.0012753529375500894,0.003985828166519044,0.07531692766592095,0.04925053533190578,0.0,0.0,0.0,0
2469,1.0,0.0,0.0,0.005741014733986807,0.04561558901682905,0.04325130499627144,0.05139186295503212,0.0,0.0017412935323383085,0.00175,0
1839,1.0,0.5,0.0,0.012518494544109488,0.14946855624446412,0.08277404921700224,0.11134903640256959,0.5,0.024875621890547265,0.025,0
444,1.0,0.5,0.0,0.015184791319893965,0.17781222320637732,0.05891126025354213,0.10813704496788008,0.0,0.02164179104477612,0.0125,1
2533,1.0,0.0,1.0,0.0008900499352690956,0.025243578387953942,0.014914243102162566,0.059957173447537475,0.0,0.0,0.0,0
2104,0.0,0.0,1.0,0.0026162073854879477,0.05713020372010629,0.041014168530947054,0.10813704496788008,0.0,0.0,0.0,0
2583,0.0,0.0,0.0,0.004800875408421183,0.05159433126660762,0.06413124533929904,0.09207708779443255,0.0,0.0,0.0,0
642,1.0,0.5,0.0,0.015311941310646693,0.12732506643046945,0.05070842654735272,0.08886509635974305,0.0,0.0,0.0,0
1950,0.0,0.0,0.0,0.004361629985820849,0.06930912311780336,0.05592841163310962,0.10599571734475374,0.0,0.0,0.0,0
311,1.0,0.0,1.0,0.02121478330559152,0.054030115146147036,0.023117076808351976,0.03747323340471092,0.0,0.007462686567164179,0.0075,0
351,1.0,0.5,0.0,0.26595925035447876,0.8664747564216121,0.0924683072334079,0.13383297644539616,0.0,0.08557213930348259,0.075,1
548,0.0,0.0,0.0,0.01789732445595216,0.12201062887511072,0.09172259507829977,0.13383297644539616,0.0,0.014427860696517412,0.005,0
1449,0.0,0.5,1.0,0.0021307256026138954,0.06775907883082374,0.04399701715137957,0.10171306209850108,0.0,0.0,0.0,0
1494,1.0,0.0,0.0,0.007925682756920042,0.10363153232949512,0.2058165548098434,0.2430406852248394,0.0,0.0,0.0,1
2503,0.0,0.0,0.0,0.005779545034214907,0.06930912311780336,0.061894108873974646,0.10171306209850108,0.0,0.0009950248756218905,0.001,0
306,1.0,0.0,0.0,0.17680398865667962,0.37909654561558903,0.05592841163310962,0.09100642398286937,0.0,0.09950248756218906,0.1,0
287,1.0,0.0,0.0,0.32109996301091176,0.5515943312666076,0.08799403430275914,0.13704496788008566,0.0,0.02736318407960199,0.015,0
694,1.0,0.0,0.0,0.05186178410702176,0.3120017714791851,0.06413124533929904,0.11241970021413276,0.0,0.014925373134328358,0.015,1
932,0.0,0.5,1.0,0.01231043092287775,0.013064658990256864,0.12005965697240865,0.12205567451820129,0.0,0.0,0.0,0
630,1.0,0.0,0.0,0.015639448862585538,0.11448184233835253,0.08053691275167785,0.145610278372591,0.0,0.0014925373134328358,0.0015,0
2114,0.0,0.0,1.0,0.004022563343813575,0.04495128432240921,0.06785980611483967,0.08565310492505353,0.0,0.0,0.0,0
1941,0.0,0.0,1.0,0.0037374391221256394,0.025686448184233834,0.0842654735272185,0.042826552462526764,0.0,0.0024875621890547263,0.0025,0
2298,1.0,0.5,0.0,0.020070433388816967,0.10341009743135518,0.14690529455630127,0.09957173447537473,0.0,0.04975124378109453,0.05,0
1774,1.0,0.0,1.0,0.0010210529560446336,0.02679362267493357,0.017897091722595078,0.029978586723768737,0.0,0.0,0.0,0
1487,0.0,0.0,0.0,0.006164848036495901,0.1020814880425155,0.0686055182699478,0.08458244111349036,0.0,0.04975124378109453,0.05,0
1360,0.0,0.5,0.0,0.005941372295172924,0.06775907883082374,0.14690529455630127,0.1777301927194861,0.0,0.0,0.0,0
1684,0.0,0.5,0.0,0.010765365883730966,0.11315323294951285,0.0633855331841909,0.10599571734475374,0.0,0.0,0.0,0
2273,1.0,0.5,1.0,0.0025584119351457985,0.014614703277236492,0.03803131991051454,0.02462526766595289,0.0,0.0,0.0,0
1210,1.0,0.0,1.0,0.005898988964922015,0.12090345438441098,0.1215510812826249,0.19164882226980728,0.0,0.0,0.0,0
1472,0.0,0.0,0.0,0.009990906849146169,0.15611160318866255,0.10961968680089486,0.12633832976445397,0.0,0.0,0.0,0
1366,0.0,0.5,1.0,0.003822205782627458,0.08680248007085917,0.197613721103654,0.3715203426124197,0.0,0.0,0.0,0
1398,0.0,0.5,0.0,0.017643024474446704,0.20814880425155005,0.18046234153616703,0.19593147751605997,0.0,0.0,0.0,0
1234,1.0,0.0,0.0,0.006118611676222181,0.0912311780336581,0.04399701715137957,0.10920770877944326,0.0,0.0,0.0,0
13,0.0,0.0,1.0,0.02475571789655385,0.04716563330380868,0.07158836689038031,0.11241970021413276,0.0,0.014925373134328358,0.015,0
1048,0.0,0.0,1.0,0.0013870908082115776,0.00974313551815766,0.1319910514541387,0.11884368308351177,0.0,0.0,0.0,0
808,0.0,0.0,1.0,0.0007975772147216571,0.003100088573959256,0.03131991051454139,0.02676659528907923,0.0,0.0,0.0,0
1508,1.0,0.0,0.0,0.00617640712656433,0.10008857395925598,0.08873974645786727,0.12098501070663811,0.0,0.0,0.0,0
514,0.0,0.0,0.0,0.011193052216262869,0.06465899025686449,0.0529455630126771,0.069593147751606,0.0,0.003482587064676617,0.0015,0
409,1.0,0.0,0.0,0.008399605449725664,0.03808680248007086,0.036539895600298286,0.044967880085653104,0.0,0.021890547263681594,0.0125,0
