,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy,class
1316,1,2,1,20720,284,13,-11,1,0,0,0
157,1,1,2,65100,172,-82,-75,1,3000,3000,0
456,1,1,1,43660,281,-44,-29,1,700,700,0
2432,1,1,2,12200,580,105,310,2,0,0,0
2328,2,1,1,19180,289,-36,-35,1,0,0,0
1551,2,2,1,66780,2022,169,204,1,0,0,0
2119,1,1,2,8320,213,9,-10,1,0,0,0
307,2,1,2,285990,1109,67,62,1,6000,6000,0
243,1,1,1,1310730,1504,13,9,1,4200,4000,0
655,2,2,2,8660,205,16,188,2,10000,10000,0
1864,1,2,2,4890,162,97,88,1,0,0,0
657,1,2,1,21000,523,-61,-44,2,8000,8000,0
811,1,1,2,340,6,-87,-85,1,0,0,0
911,2,2,2,14770,48,-60,-41,2,0,0,0
1565,2,2,1,17960,780,-38,0,2,0,0,0
2409,2,2,1,15560,264,-46,-40,1,0,0,0
2447,1,1,2,1620,55,-85,-72,1,0,0,1
2329,2,1,1,34800,450,17,1,1,3200,3000,0
1931,1,1,2,3250,127,-47,-20,1,0,0,0
1901,1,1,1,36680,513,47,3,1,0,0,0
1957,1,1,1,44190,696,201,129,1,2000,2000,0
935,1,2,2,147400,189,55,33,1,700,700,0
49,1,2,2,59060,264,65,85,2,6000,6000,0
343,2,1,1,206610,1421,-7,1,1,4200,4000,1
2046,1,1,1,33330,482,-5,-12,1,40200,40000,0
606,1,1,2,3960,35,-14,-27,1,1000,1000,0
1814,1,2,1,69880,855,144,72,1,1200,800,0
1813,2,2,1,34820,550,16,6,1,0,0,0
95,1,1,2,25580,120,-54,-53,1,6000,6000,0
2381,1,1,1,67040,785,111,84,1,1600,900,0
292,1,1,2,43600,194,-48,-48,1,0,0,0
416,2,1,1,19120,194,-40,-39,1,9300,6000,0
1925,1,1,2,5480,236,-20,37,1,0,0,0
2373,1,1,1,9160,300,-72,-28,1,0,0,0
1080,1,1,2,1100,6,-66,-85,1,0,0,0
722,2,1,1,118120,1716,-33,-14,1,20000,20000,0
2295,2,2,1,36650,414,41,-14,1,0,0,0
1478,1,1,1,15300,293,-2,15,1,0,0,0
1403,1,2,1,14830,492,-21,-2,1,0,0,0
1016,1,1,2,3720,43,75,8,1,0,0,0
2363,2,1,1,26080,420,-21,-4,1,4000,2000,0
1040,1,1,2,2780,19,8,-52,1,0,0,0
730,1,1,2,4580,91,-72,-50,1,1000,1000,0
1657,2,2,1,19760,328,-42,-43,1,0,0,0
599,2,1,1,27810,265,-6,11,1,500,500,0
1802,2,2,1,21900,276,128,71,1,600,600,0
2190,1,3,1,53180,1048,34,70,3,0,0,0
2096,1,1,2,4620,175,-63,-30,1,0,0,0
1237,2,1,1,44960,1172,115,88,1,200,200,0
1769,2,1,2,7510,141,-15,-24,1,0,0,0
331,2,1,2,72370,581,-79,-70,1,0,0,0
794,1,1,2,3860,77,-38,12,1,0,0,0
286,2,1,1,452730,1349,-34,-31,1,64000,30000,0
1640,2,2,2,10110,531,-2,51,1,0,0,0
2222,2,2,1,31630,577,-37,-21,1,0,0,0
